open_uuid,open_test_uuid,time_utc,cat_technology,network_type,lat,long,loc_src,loc_accuracy,region,municipality,settlement,whitespot,zip_code,download_kbit,upload_kbit,ping_ms,lte_rsrp,server_name,test_duration,num_threads,platform,model,client_version,network_mcc_mnc,network_name,sim_mcc_mnc,nat_type,asn,ip_anonym,ndt_download_kbit,ndt_upload_kbit,implausible,signal_strength,speed_test_duration_ms,cell_id,lac,tags,test_type,additional_report_fields,tcp_open,tcp_total,udp_open,udp_total,packet_loss_down,packet_loss_up,peak_down_kbit,peak_up_kbit
Ped854ef9-fd0b-4e07-bbc6-33702c5c5b6a,O78847e4d-2307-479b-b43c-dcd0dd9e6f30,2020-09-01 00:01:26,LAN,LAN,,,,,,,,,,49534,10008,27.082,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,6805,78.55.235,,,false,,23117.418,,,{},FULL_TEST,,,,,,,,,
P5b233efd-add3-42da-972d-1a203cdfb540,Oa51de819-001b-444e-9a8e-beba27a4529e,2020-09-01 00:01:36,LAN,LAN,,,,,,,,,,99406,9939,12.3,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,80.108.167,,,false,,24457.943,,,{},FULL_TEST,,,,,,,,,
P47107c1b-bbd7-41b4-a50d-5f684dfc56aa,O71959c62-e2ee-4052-a6ad-afe2b13f4082,2020-09-01 00:01:47,LAN,LAN,,,,,,,,,,78075,9695,10.9,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,41779,185.211.110,,,false,,22892.503,,,{},FULL_TEST,,,,,,,,,
Ped2cefa6-82df-40ef-811a-4f158417c126,Ocdcba072-cba7-4fd5-af82-92b14a147026,2020-09-01 00:01:51,LAN,LAN,,,,,,,,,,14759,2784,167.773,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,43350,185.107.80,,,false,,33133.314,,,{},FULL_TEST,,,,,,,,,
P0e716ed6-d684-4aaf-ba47-bfa57e3ca3be,Of1c99933-3fe5-4632-a014-7e01d9ad7d1b,2020-09-01 00:01:57,LAN,LAN,,,,,,,,,,50659,17142,3.747,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,6939,2001:470:5bec::,,,false,,22809.782,,,{},FULL_TEST,,,,,,,,,
P12100e1b-8fc9-40cf-b560-35af5f68bd3a,Oc189c5f4-ec3e-46bf-923a-e6d1702792c2,2020-09-01 00:01:57,LAN,LAN,,,,,,,,,,19413,17541,5.556,,CZ.NIC,5,3,,Turris,0.3,,,,,202237,37.77.239,,,false,,22411.119,,,{},FULL_TEST,,,,,,,,,
Pe5afb0de-2ec7-4821-92f9-faa36de885d5,Oc5c310de-6b62-4178-91d1-83bd9f25f867,2020-09-01 00:01:58,LAN,LAN,,,,,,,,,,22518,4570,33.1,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,196968,176.10.54,,,false,,23064.119000000002,,,{},FULL_TEST,,,,,,,,,
P16f471cc-d066-48cd-bba2-ab6521219793,O94fb87de-6c5e-492b-b292-fef1c1dbcdd8,2020-09-01 00:01:58,LAN,LAN,,,,,,,,,,85435,86268,3.8,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,42000,185.160.20,,,false,,22622.899,,,{},FULL_TEST,,,,,,,,,
Pe6454cc8-dff5-4f08-bd81-323824f3a5bc,O2e0683e7-89f1-4aa2-86c9-a3fd2594d55c,2020-09-01 00:02:04,LAN,LAN,,,,,,,,,,294556,16057,20.598,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,2a02:8308:a185::,,,false,,25925.334,,,{},FULL_TEST,,,,,,,,,
Pd96472da-1182-4e2d-945f-8dc4ccbf0ba2,O5242eb53-a80a-4584-aa2f-dc7dab9d6dec,2020-09-01 00:02:08,LAN,LAN,,,,,,,,,,412651,326426,7.349,,CZ.NIC,5,3,,Turris,0.3,,,,,16019,93.99.0,,,false,,45578.824,,,{},FULL_TEST,,,,,,,,,
Pe30aa895-1a5c-45bd-a3c8-85f53fd75bc9,Of4b262e5-6467-4d23-ab51-9b8b9124075d,2020-09-01 00:02:13,LAN,LAN,,,,,,,,,,37494,4343,12.0,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,5610,90.177.201,,,false,,25675.036,,,{},FULL_TEST,,,,,,,,,
P999a010f-8a82-4e64-9f78-ef4e1ebef114,O53ece2a6-d2f2-4e8b-973d-e801b1196f67,2020-09-01 00:02:14,LAN,LAN,49.8433888,13.2227543,Browser,30.0,,,,,,29524,4902,20.029125,,CZ.NIC,5,3,,Firefox,0.8.0,,,,,16019,46.135.36,,,false,,20172.787,,,{},FULL_TEST,,,,,,,,,
Pb2dd3a2e-666b-48d6-9881-98cccd1c6b33,Od24c415f-8703-4707-9dd8-07d61783e2b2,2020-09-01 00:02:15,LAN,LAN,,,,,,,,,,39397,39266,6.9,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,57279,176.12.120,,,false,,21966.153,,,{},FULL_TEST,,,,,,,,,
Pe4ace33c-6e33-418d-9ca3-0ca31ff1d156,O73c7cbf5-b199-4030-b6c1-c2938c74b2be,2020-09-01 00:02:22,LAN,LAN,,,,,,,,,,268625,273171,,,CZ.NIC,5,3,,Turris,0.3,,,,,6939,2001:470:6f::,,,false,,24635.589,,,{},FULL_TEST,,,,,,,,,
P80fe9738-cf02-4a61-9488-88461aa386f0,Oe1f27f67-a133-42d3-86b7-a4bfba49b60e,2020-09-01 00:02:26,LAN,LAN,,,,,,,,,,83806,109497,9.826,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,44489,109.164.107,,,false,,22524.238,,,{},FULL_TEST,,,,,,,,,
Pa341c7f2-a2c6-464b-9e66-e3fa73d6da8d,O860971f2-b237-428e-903f-76a5a9cc177d,2020-09-01 00:02:36,LAN,LAN,,,,,,,,,,348323,380789,7.848,,CZ.NIC,5,3,,Turris,0.3,,,,,204668,185.175.8,,,false,,27532.089,,,{},FULL_TEST,,,,,,,,,
P73a0bcd8-14cf-48d5-b6d7-79d3711d5425,O90be7a14-7a80-4609-8dda-c27f23811d69,2020-09-01 00:02:39,LAN,LAN,,,,,,,,,,10594,714,103.572,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,1241,193.92.252,,,false,,31328.286,,,{},FULL_TEST,,,,,,,,,
P02ed2beb-1760-4a61-80c1-4a7d0d3d53b7,Oe61c4b65-b035-4fe9-987d-50cb44c8497c,2020-09-01 00:02:44,LAN,LAN,,,,,,,,,,29237,10016,22.917,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,35518,88.213.139,,,false,,25428.74,,,{},FULL_TEST,,,,,,,,,
Pdeba540e-558a-4503-bca8-5df0bea7873a,O932a7691-f065-4995-ac8a-ca8f5376fbdb,2020-09-01 00:02:44,LAN,LAN,,,,,,,,,,526635,674351,1.255,,CZ.NIC,5,3,,Turris,0.3,,,,,202618,176.114.249,,,false,,31899.47,,,{},FULL_TEST,,,,,,,,,
Pac7e403c-2c75-460e-9809-094947d6b069,O7d403cd4-84fb-41dc-9c22-7db970ae3182,2020-09-01 00:02:47,2G/3G/4G,2G/3G/4G,,,,,,,,,,61540,12463,28.974,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,8447,92.248.44,,,false,,24913.347,,,{},FULL_TEST,,,,,,,,,
Paf5ce562-3627-49bf-9103-4360fe2c2fa7,O678e4acd-9012-49f2-aa3b-60b50c83e317,2020-09-01 00:02:50,LAN,LAN,,,,,,,,,,41499,8795,10.921,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,204165,185.112.167,,,false,,24278.872,,,{},FULL_TEST,,,,,,,,,
P69373afb-0da7-44fe-83d8-9d28bede5d80,Ofd1f16c5-d7ec-4030-b8a5-71a83742cc1f,2020-09-01 00:02:57,LAN,LAN,,,,,,,,,,82107,33830,30.391,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,42596,89.221.15,,,false,,25747.777,,,{},FULL_TEST,,,,,,,,,
P62ee1176-a0eb-4250-b5b3-5e01fcaeaaff,O5497dca6-f149-4459-9329-4f0166b12403,2020-09-01 00:03:03,LAN,LAN,,,,,,,,,,64308,5722,16.593,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,16019,91.219.242,,,false,,24758.571,,,{},FULL_TEST,,,,,,,,,
P27db27a6-0013-4c6f-bcbd-721aad4f7de8,O46092163-c0c8-4d33-82a1-d7ccdd7ca609,2020-09-01 00:03:04,LAN,LAN,,,,,,,,,,50384,4625,10.015,,CZ.NIC,5,3,,Turris,0.3,,,,,5610,2a00:1028:96d3::,,,false,,24341.444,,,{},FULL_TEST,,,,,,,,,
Pef68c9fa-b248-45d5-b118-2315c2b2bc35,Of71fe8d3-5e73-49b2-90d7-b3c1846bbf54,2020-09-01 00:03:06,LAN,LAN,,,,,,,,,,129561,13571,124.7,,CZ.NIC,5,3,,Turris Omnia,0.3,,,,,5645,198.84.220,,,false,,31224.701,,,{},FULL_TEST,,,,,,,,,
